,full_name,group_id,shrot_name,user_id
0,Факультет МОП,674749,mop_faculty,6499001
1,ICOC RU Церковь Христа,151959051,icocru,6499003
2,"""Volchonok"" - интернет-магазин детских товаров",35788162,magvolchonok,6499004
3,Прокат велосипедов Днепропетровск | veliki.dp.ua,50299454,velikidpua,6499004
4,"Коктебель Boxing Club ""GrandStar""",174518943,club174518943,6499005
5,Мой Компьютер,72378974,myironcomp,6499005
6,Дачный советник,91685528,dacha_sovetnik,6499005
7,Xiaomi,165599758,xiaomi,6499005
8,Путешествуй дешево PiratesRU,47218327,piratesru,6499005
9,Улыбнуло,23378353,vkclass,6499005
10,OFF-Road | Внедорожники | Вездеходы,93807422,road_4x4,6499005
11,Bagger | Vicla | Lowrider | Chicano,148925857,bagg_low,6499005
12,Инцидент Крым|Симферополь|Севастополь ДТП,164361801,incident_crimea,6499005
13,Мужчина должен быть...,36719060,menmustbe,6499005
14,Наука и Техника,31976785,science_technology,6499005
15,Крым. Коктебель.,131583752,koktebeleman,6499005
16,Лучшие фильмы HD,50821414,kino_in,6499005
17,Интересно знать,70157007,territoriya_ygasov,6499005
18,AMG,91769634,myauto55,6499005
19,Высокие технологии,124477294,texnomir7,6499005
20,Сделано человеком,105736223,sdelanochelovekom,6499005
21,Полный Бак,39236729,bak,6499005
22,I♥Motocross,34945168,ilovemotocross,6499005
23,Почему я этого не знал?,74595166,know.this,6499005
24,МИР ВНЕДОРОЖНИКОВ,36754416,megajeep,6499005
25,Дачный лайфхак,83256656,dacha.life,6499005
26,Крым Симферополь Севастополь,97895269,crimeagroup,6499005
27,Коктебель NEW'S,38113432,koktebel_news,6499005
28,Моя дача ver. 2.0 | Архитектура и дизайн,86102607,mydacha2,6499005
29,Книга рекордов - Интересные факты,35364891,kn_rec,6499005
30,ЭТУ СТРАНУ НЕ ПОБЕДИТЬ!!!,36200261,vstrane,6499005
31,Внедорожное движение,36281431,vnedordvizh,6499005
32,МЯСО | Мужская кухня,68988957,mensrecipes,6499005
33,Охота и Рыбалка,81264528,vk_hunting,6499005
34,Редкие кадры,35519861,redkadri,6499005
35,Владимир Владимирович Путин,72009603,vladimir_vladimirovichp,6499005
36,КРУТЫЕ ФАКТЫ!,88733659,cool.fact,6499005
37,Горжусь Россией!,37628914,ugarproizvoditel,6499005
38,MirFactov - все самое интересное!,22741084,mirfactov,6499005
39,СОЮЗ ДЖИПЕРОВ,24468460,jeepertv,6499005
40,За секунду до...,30621521,bestmoment,6499005
41,Top Gear,33353770,goodcar,6499005
42,КиноКайф - лучшее из мира кино!,34199707,movie4you,6499005
43,Эту страну не победить!,36086936,bestland,6499005
44,Журнал 4x4 CLUB | Клуб 4х4 |,38037391,4x4club,6499005
45,Digit world - в мире технологий,41525215,ted4you,6499005
46,SNOWGOODS > Доставка Снаряжения,43697059,snow1,6499005
47,Лента разработки Battles for Glory.,44091186,bfggame,6499005
48,Удачный кадр | Фотографии и фотографы,45511996,greatshot1,6499005
