,full_name,group_id,shrot_name,user_id
0,C-c-combo breaker,43116499,combo__breaker,6701805
1,Лепрозорий,65960786,leprazo,6701840
2,Кулинария: вкусные рецепты 🍒,42092461,bon_cook,6701840
3,Открой планету заново |  Путешествия по миру,35238813,tripdiary,6701840
4,Здоровое питание | Power of will,77109534,the_power_of_will,6701840
5,Путешествия и туризм,35806721,vk.travel,6701840
6,Ukrainian Chicago | Український Чикаго,43244073,ukrainian_chicago,6701840
7,Фитнес Рецепты — правильное и здоровое питание,80410546,fitness_recepty,6701840
8,Sweet&Flour,93685664,swtnflour,6701840
9,"Туристична агенція ""Коростень-Тур""",111157039,club111157039,6701840
10,Техцентр Мотор Инжиниринг,34353120,motor_e,6701842
11,Постелька37 ™ | Постельное белье Иваново,69025254,postelnoebelie37,6701844
12,Женские секреты,28528027,ime4ta,6701844
13,Коварный Турагент,19256347,moidokumentiru,6701844
14,Женские Хитрости | Лайфхакерша,23245066,vk.kp_krasoty,6701844
15,Спортивная,26614831,my_sportt,6701844
16,Workout | Будь в форме,31428243,ican,6701844
17,Fitness Life,33118494,udoit,6701844
18,Transformator Travel,33383239,transformator.travel,6701844
19,Романтика и декор своими руками,35059398,romantika_for_you,6701844
20,Худей вкусно,35113021,recipes40kg,6701844
21,0% жирности,35486195,zerofat,6701844
22,Cook Good - лучшие рецепты,39009769,cook_good,6701844
23,Блог тренера 🏄,40586683,smart_coach,6701844
24,Кулинария: вкусные рецепты 🍒,42092461,bon_cook,6701844
25,Фабрика идей,43772432,hmideas,6701844
26,Секреты красоты 💄,44497796,beauty_womenn,6701844
27,Диета,44760860,fitness_diety,6701844
28,Кулинарное искусство,47118092,cooklove,6701844
29,Funny Health | Здоровье | Красота | ПП рецепты,47119920,funny.health,6701844
30,Кулинария | Рецепты 🍉,47472023,food_bon,6701844
31,Искусство экономить,47610601,ya.woman,6701844
32,Vénus,48086862,venus_journal,6701844
33,Веломаркет,48218876,club48218876,6701844
34,Женская беседка | Отношения. Семья. Дети,48455539,woman_corner,6701844
35,"""Веломаркет""",48933358,club48933358,6701844
36,Секреты женской красоты,49235752,woman.secrets,6701844
37,Идеи для красоты 👄,51024179,mdk_beauty,6701844
