,full_name,group_id,shrot_name,user_id
0,Paintings Gallery,103153295,club103153295,6859640
1,Кот,157142819,kotbrot,6859640
2,Киномания,22798006,kino_mania,6859640
3,"Спортивный центр ""Афродита""",103971940,aphrodite29,6859640
4,Администрация Ломоносовского округа Архангельск,155245507,lomonosovskiiokrug,6859640
5,5 лучших фильмов,26750264,xfilm,6859640
6,Идеи дизайна интерьера,36184135,i_des,6859640
7,Коварный Турагент,19256347,moidokumentiru,6859640
8,Мужские мысли,25397178,strog_pocan,6859640
9,Forbes,11982368,forbes,6859640
10,°•★☆ GOLD OF BELLYDANCE☆★•° {OFFICIAL page}💖,25896095,gold_bellydance,6859640
11,★★★Умный Туризм★★★ Активный отдых и туры.,28465143,smart__travel,6859640
12,ProFit Apple,31340378,profit_apple,6859640
13,Цитаты и Книги,31752409,eternity,6859640
14,Идеи вашего дома,32439535,homeideaz,6859640
15,Подслушано в Москве,33879369,moshear,6859640
16,Charme Flowers™,37039696,charmeflowers,6859640
17,KudaGo: Москва,37119411,kudago,6859640
18,Красивые девушки,37140953,topegirls,6859640
19,2do2go: Москва,38415798,intermsk,6859640
20,LOOKBOOK,38584026,be.sale,6859640
21,Английский язык,40167434,engl4you,6859640
22,Думай и Богатей ©,40182105,dumayibogatey,6859640
23,Школа красоты,45064245,be.beauty,6859640
24,Женские штучки,48911100,women.love,6859640
25,Вокруг света,54365037,be.travel,6859640
26,Что интересного? Москва.,54863383,interesting_moscow,6859640
27,Москва: Инструкция по применению!,59570143,msk4you,6859640
28,Bellydance Costumes Official,63639863,bellydancec_official,6859640
29,iGenий,67119308,club67119308,6859640
30,4PDA.ru | официальная группа,38624893,4pdaru,6859642
31,1 канал,57551138,pervyi_mma,6859642
32,[BadComedian],25557243,badcomedian,6859642
33,Студия Аналитики | Dota 2,86678270,studanal,6859642
34,Котонавты,51498322,meownauts,6859642
35,DOS4GW.EXE,81574241,dos4gw,6859642
36,КБГУ'шники,34093625,kbgushniki,6859642
37,Т*У*Р*Н*И*К*Е*Т,39322408,turniket_jurfak,6859642
38,VK Dota 2,126093223,dota2,6859642
39,Мокрый футбол,166035700,mokriyfootball,6859642
40,Клан Circassia,39719604,circassiawot,6859642
41,RES-Publica,26998987,prideart,6859642
42,prideart.ru,34324538,habirshabir,6859642
43,Интеллектуальный футбол,47612773,brainball,6859642
44,BalkonFM,58465922,balkonfm,6859642
45,Redede:Son Of Circassia (UE4),72025784,redede_son_of_chercessia,6859642
46,Типичный Киев,32195333,typical_kiev,6859644
47,УКРАЇНА LIVE - НОВИНИ / АТО / ООС,55297091,live_ukr,6859644
48,~ ТВОРЯЩАЯ ДУША ~ МАСТЕР-КЛАССЫ В Красноярске,11593197,club11593197,6859645
49,Men's Lux,36188379,menslux,6859645
50,Взаимопиар,38804194,wzaimopyar,6859645
51,Профессиональная косметика на  Lafbay.ru,43227577,lafbay,6859645
52,Партнерский бизнес,44434610,partnerskiybusines,6859645
