,full_name,group_id,shrot_name,user_id
0,КиноКайф - Лучшие фильмы,58170807,kino_kaif,6748752
1,КАФЕ РЫБАРИС ИЖЕВСК,170267532,ribaris.sushi,6748752
2,ФИЛЬМЫ / КИНО / КИНОМАНИЯ ОНЛАЙН + КиноБот,39645210,novinki_kino,6748752
3,"Фильмы, основанные на реальных событиях",79863581,film_real,6748752
4,Новое Радио,106042931,newradio,6748752
5,Фильмы 2019 Новинки кино онлайн,55532709,d.film,6748752
6,Завтра в Ижевске,87905825,zavtra18,6748752
7,Ижевск,141514192,izhevsk118,6748752
8,НОВИНКИ КИНО 2019,90253744,kinona5,6748752
9,ЗИ - ЗЛОЙ ИЖЕВЧАНИН | ИЖЕВСК,101515078,zlou18,6748752
10,HD Кино - Фильмы онлайн 2019,123915905,skafilms,6748752
11,Киноклуб • Новые фильмы 2019,73932232,vip_kinoclub,6748752
12,Дизайн интерьера,33301261,archvk,6748752
13,Vandrouki | Путешествия почти бесплатно (RU),63731512,vandroukiru,6748752
14,Новинки кино,77051666,hd_kino_kaif,6748752
15,Детская Афиша Ижевск,114924510,izh_deti,6748752
16,Суши Марио l Ижевск l Доставка суши и роллов,154453818,sushi_mario,6748752
17,ОРЕШКИ Ижевск. Доставка орехов и сухофруктов.,98206316,oreshkii,6748752
18,"Больше, чем просто кино",47618171,x.film,6748752
19,Доставка | суши | роллов в Ижевске - Pirate Jack,171164073,piratejack,6748752
20,"Детский Футбольный Клуб ""Делин"" г. Ижевск",163666678,dfc_delin,6748752
21,Одежда Ижевск | Шоурум Ижевск | Sisters House,152938242,sisters_house,6748752
22,Доставка роллов и суши Ижевск | Империя суши,87681845,imperio18,6748752
23,Магазины YourLine Ижевск пальто куртки плащи,103211890,yourline18,6748752
24,КХЛ,16202769,khl,6748752
25,Продвинутые Родители,77428844,modernparent,6748752
26,Прически,36785025,priches,6748752
27,Маникюр Обучение Ижевск,60650532,saltykovanailbar,6748752
28,Роллы Ижевск | Доставка суши | AYAMI,131759632,dostavka_sushi_ayami,6748752
29,"Магазин ""Охота""",160231304,izhohota,6748752
30,Поиск Ижевска (ПИ),36517019,poisky,6748752
31,Бизнес-цитатник. Online журнал,28556858,businessquotes,6748752
32,РАДИО DFM,89493,dfm,6748752
33,Косметика Талир Мюстела г.Казань,59918759,talirmustela,6748752
34,"Здоровая семья: мама, папа, дети",57829589,receptzdorov,6748752
35,Страна мам и малышей,92186034,strana_mam_i_malushei,6748752
36,EL Travel Турагентство | Туры | Горящие | Ижевск,78184605,eltravel,6748752
37,Мой знак зодиака Рыбы,33755632,moi_znak_rybi,6748752
38,"Детский центр ""Pobeditel club"" г. Ижевск",62104923,pobeditel.club,6748752
39,"RANGE BAR Ижевск | Крафт, разливное, снеки, кофе",98346620,rangebar,6748752
40,LUXURIOUS LIFE ™,39748345,luxurious.life,6748752
41,БОТИК 35 / Красная Туфелька,72771786,botik35,6748752
42,ПЕЛЬМЕНЬ - настоящий мужской юмор!,29642594,smurfy,6748752
43,Paolo Conte  [Обувь и аксессуары],74602157,paolo.conte.shop,6748752
44,Next.com.ru,50885209,nextdirect,6748752
45,Ижевские термы  бассейны сауны здоровье,134261249,izhevskieterms,6748752
46,Платформа сеть спортивных клубов,63540255,platformasport,6748752
47,VKUSnoePLATYE г.Ижевск,124028577,vkusnoe_platye_izhevsk,6748752
48,Наши Детки,97827608,deti_i_roditeli2017,6748752
49,🌳 ТИШИНО парк 🌲 Ижевск,147447847,tishinopark,6748752
50,Современная хозяйка,152588328,club152588328,6748752
51,Клуб любителей Охоты и оружия,71866096,ohota_i_oruzhie,6748752
52,Дети,32142165,mirdetei,6748752
53,Учи.ру,61888001,uchi_ru,6748752
54,Радио ENERGY (NRJ),9693056,nrj,6748752
55,"Школа профессионального макияжа ""Make-Up Studio""",19855510,club19855510,6748752
56,Одежда. Магазин YAGODA,131051963,club131051963,6748752
57,JustP1Cture,7582321,justp1cture,6748752
58,ПЛАТЬЯ 1001DRESS,12141758,shop1001dress,6748752
59,Бесплатный Ижевск,30431003,freeizhevsk,6748752
60,"Агентство ""Счастливый день"" | Аниматоры Ижевск",34696383,truda6,6748752
61,«Доктор плюс» в Ижевске,42193077,doktorplus,6748752
62,Аниматоры в г. Ижевск (Город Сказок),42193621,skazka18,6748752
63,Мама Дети Семья ☼ Секреты Новоиспеченной Мамочки,46275035,freshmotherssecrets,6748752
64,Типичный муж / Типичная жена,48598512,tipichnyemolodozheny,6748752
65,Детская одежда Ижевск Ладушки | Интернет магазин,48731000,ladushkishop,6748752
66,Дети,51887618,kidwelcome,6748752
