,full_name,group_id,shrot_name,user_id
0,Рыбалка,161376023,ylov_ribaka,6874628
1,Орфосвинство и идиомаркетинг,59599461,orfosvinstvo,6874628
2,Авто + Маляр,108292161,carpainterclub,6874628
3,Рыбалка с юмором,115762505,ribalka_s_yumorom,6874628
4,Улётные приколы,30034017,fangif,6874628
5,MARVEL/DC UNIVERSE,29669088,fantasticm,6874628
6,Рыболов | КЛЁВая рыбалка,150246881,rybak_ot_boga,6874628
7,АВТО ЛАЙФХАК,148411246,carlifehack,6874628
8,HERO PUB - MARVEL | DC,131529287,hero_pub,6874628
9,КОМПОТ — Журнал со вкусом,32615394,kompot,6874628
10,"►СТОЛИЦА на ОНЕГО◄ Новости Петрозаводск, Карелия",29378821,stolica_na_onego,6874628
11,Хардкор,129212910,pizdecebat,6874628
12,Я ❤ КИНО,113071474,kinohd,6874628
13,Верни мне мой 2007-ой,41268624,wetakeitback,6874628
14,EMPIRE - MARVEL | DC,79337779,empire.project,6874628
15,Реклама как искусство,31162722,mir.reklami,6874628
16,Секреты успешной Рыбалки,23127680,fishing_secrets,6874628
17,Geek Universe | Мстители 4,92440166,geek_universe_kl,6874628
18,Gallery of Knives / Галерея ножей,103607635,gallery_of_knives,6874628
19,Чёткие Приколы,30008385,prikalnis,6874628
20,Анекдоты из жизни от анекдотов.net,50384057,a_story,6874628
21,Дзен,23213239,dzenpub,6874628
22,Ржунимагу,23497895,oxaxa,6874628
23,ГРИЛЬ | Мужская Кухня,120783513,grill_kitchen,6874628
24,Факт дня,80621272,new.fact,6874628
25,Подземка,89091446,podzemkas,6874628
26,GOLDEN Marvel&DC,133353384,club133353384,6874628
27,The Elder Scrolls,128416482,tes,6874628
28,Назад в 90-е! Ностальгия,36621543,vk.ninetieth,6874628
29,ДТП Петрозаводска и Карелии,35834663,dtpptz,6874628
30,Чёрный юмор,36959733,vk.blackhumor,6874628
31,Выживший,154611936,vyzhivshi,6874628
32,Trash Story,139496655,trash,6874628
33,Рыбалка с JOHNCOO Aliexpress,156291641,johncoostore,6874628
34,Комиксы MARVEL/DC,100337839,marvel_comunity,6874628
35,Фотожурнал The Pictures®Эротика|Бот,112775332,thepictures,6874628
36,Ушки Бэтмена,5838365,dc.marvel,6874628
37,НОВИНКИ КИНО 2019 | НОВЫЕ ФИЛЬМЫ | Содержанки,61972,kino_hd,6874628
38,The Elder Scrolls Lore,41697900,tes.lore,6874628
39,Метель,114363724,metel777net,6874628
40,анекдотов.net,22222333,anekdot,6874628
41,Лепрозорий,65960786,leprazo,6874628
42,Мизантроп,29369218,misanthrope_blog,6874628
43,"Тысяча чертей, какая татуировка!",26776509,wowtattoo,6874628
44,Slipknot Официальное фанатское сообщество,23589351,slipknotrussia,6874628
45,RPG Geeks,1112285,best_rpg_games,6874628
46,Книга рекордов - Интересные факты,35364891,kn_rec,6874628
47,Wiki Карелия,166191477,wikikarelia,6874628
48,Сарказм,36164349,s_arcazm,6874628
49,Рыбалка,86473104,rybalka_dnm,6874628
50,VALHALLA,104751726,to.valhalla,6874628
51,Рыбалка KastKing,119454440,kastkingfishing,6874628
52,Импровизация,114396220,improvisationtnt,6874628
53,Топ фильмы,35615587,top_bestfilms,6874628
54,ODAL,56794657,odal23,6874628
55,Superheroes ART | Cosplay,30936462,superheroesart,6874628
56,Grammar Nation,25451458,global_grammar_nazi,6874628
57,Видеокарты INNO3D,131951692,inno3dru,6874628
58,Deutscher RAC / German RAC / Немецкий RAC,44209125,deutscher_rac,6874628
59,Asking Alexandria,24463790,askinga,6874628
60,Superheroes Memes | Marvel/DC,44661408,geekmems,6874628
61,FAIL EMOTIONS,23825176,failemotionsband,6874628
62,Moments of the War,70119083,warmoments,6874628
63,Ножи от Кузницы СПАРТА,138058725,spartabulat,6874628
64,"Tavern ""THE BEE AND THE STING ""/TES",110451461,testavernbee,6874628
65,Научная Лаборатория,129654156,vk_sciencelab,6874628
66,Рыбалка с Aliexpress,115679443,fishing_ali,6874628
67,Научная фантастика | Nebula,77221864,nebula4,6874628
68,Nintendocore Elite [**],153618258,elite_nincore,6874628
69,Комедии,49266632,my_comedy,6874628
70,Post-Hardcore,23138673,phc,6874628
71,Разрушители | GIF,149529499,gif_destroyers,6874628
72,KOLOVRAT TRANSLATE,92906647,kolovrat_translate,6874628
73,НОЖ В РЕМНЕ,18860508,knives_weapons,6874628
74,Alter Radio,16263716,alterradio,6874628
