,full_name,group_id,shrot_name,user_id
0,Палата №6,56106344,pn6,6821679
1,Just Story,106084026,just_str,6821679
2,ПОДСЛУШАНО В МУРМАНСКЕ №1,61588306,pvm51,6821679
3,Женская барахолка Барановичи,75215312,second_bar,6821679
4,Клуб Молодых Мам (КММ),35232329,mama.club,6821679
5,Подслушано Барановичи,59863483,podslyshano_baranovichi,6821679
6,Киномания | Новинки 2019,43215063,kinomania,6821679
7,rusbiathlon.ru — популярный сайт о биатлоне,46214968,rusbiathlon,6821679
8,Детская барахолка Барановичи,107830539,baraholka_detskaia,6821679
9,Мурманск ДТП  ЧП,120051603,murmansk_dtp,6821679
10,"Дом рукоделия. Handmade, дизайн и декор",35822250,best.knitting,6821679
11,Ремонт как Искусство,39345508,remont_kak_iskusstvo_ru,6821679
12,Лучшие рецепты Повара,18464856,vpovare,6821679
13,Как Просто • Рукоделие ✂ HandMade,56869593,kakprosto_rus,6821679
14,Модная  Одежда Беларусь,49597978,club49597978,6821679
15,Типичный банкир,101873104,tbanker,6821679
16,"Wow Реклама |  Креатив, дизайн, творчество",12818778,wow_reklama,6821679
17,#ЖИТЬ,131498541,zhit,6821679
18,Молодежные  Комедии,19068382,comedylove,6821679
19,Авто Барановичи (Автобарахолка Беларусь),56404646,avtorinok_by,6821679
20,Идеи для творчества и подарков своими руками,31805219,i_d_t,6821679
21,Барахолка Барановичи | Минск | Беларусь,68154115,baraholkabar_by,6821679
22,Fashion look 👗,59901975,moda.young,6821679
23,АМИ,83022759,amimebel,6821679
24,Объявления Барановичи,38902220,b_tut,6821679
25,"Лайфхакерша | Маникюр, Макияж, Прически",122195630,moshack,6821679
26,Идеи дизайна интерьера,36184135,i_des,6821679
27,Мой Мастер Красоты,167128112,zmkrasotu,6821679
28,ЛЮБОВЬ,36318299,lovestime,6821679
29,До | После,115037408,beforeafter,6821679
30,Показалось,76623235,club76623235,6821679
31,Школа ремонта,38379853,rem_shkola,6821679
32,КЛИЕНТ ВСЕГДА ПРАВ!,146836620,klientt,6821679
33,Мама Дети Семья ☼ Записки Беременяшки,48331135,babyinmom,6821679
34,Задумайся над этим фото,64192852,think_photos,6821679
35,Маникюр | Ногти | Педикюр | 2019,126100310,women.nails,6821679
36,AliExpress для тебя,130738416,club130738416,6821679
37,Игры разума. Образование,68444029,mind_games_vk,6821679
38,Доска позора Барановичи,80035662,doska_pozora_baranovichi,6821679
39,Цитаты и статусы,23164653,psdnevnik,6821679
40,Спецэффекты,131956579,speceff,6821679
41,Стилист AliExpress,116849953,alie_stylist,6821679
42,Модная девушка,36085261,for.girl,6821679
43,AliExpress который мы заслужили!!,96457590,doehalo,6821679
44,Мама Дети Семья ☼ Секреты Новоиспеченной Мамочки,46275035,freshmotherssecrets,6821679
45,"ГОРЯЩИЕ ТУРЫ из Минска, Киева, Москвы!",37159170,tury001by,6821679
46,История|History,53782768,history_0z,6821679
47,Задумайся,53998062,think.photo,6821679
48,Редкие кадры,35519861,redkadri,6821679
49,Мой знак зодиака Овен,33755483,moi_znak_oven,6821679
50,Это интересно!,40323694,it.is_interesting,6821679
51,Кулинария • Вкусные Рецепты,24328956,megavkusnyashka,6821679
52,Авторынок Online Барановичи,67871579,barcar_by,6821679
53,Факты о родившихся 21 марта,128649273,club128649273,6821679
54,"Розы цветы в Барановичах, Бресте. Доставка",73651674,rozy.baranovichi,6821679
55,Интересно знать!,32858244,interesno_znai,6821679
56,Кинотеатр «ЗВЕЗДА» (г.Барановичи),35677531,cinema.zvezda,6821679
57,Фитнес и здоровье. Диеты и спорт.,30447908,ladyonline,6821679
58,Joom,139732885,joom.official,6821679
59,Женские мелочи,33006648,women.trifles,6821679
60,Luck vs unluck,85975872,luck_vs_unluck,6821679
61,Программы тренировок для девушек,8782532,training_for_girls,6821679
62,MDK,23148107,mudachyo,6821679
63,Зачеркни прошлое,24985591,zacherkni_proshloe,6821679
64,Денис Кораблев,46815986,denislintsevich,6821679
65,ЗАО Банк ВТБ (Беларусь),67837277,bankvtbbelarus,6821679
66,Бесплатно_сти  Беларусь!!!Конкурсы и розыгрыши,73791531,besplatnostivk,6821679
67,"КАФЕ ""БИСКВИТ"" | ДОСТАВКА ЕДЫ БАРАНОВИЧИ: 774.BY",88659120,biskvit.cafe,6821679
68,ПО СЕКРЕТУ|БАРАНОВИЧИ,97896119,club97896119,6821679
69,Афиша Барановичи. Куда ходил?,98512792,baranovichi_afisha,6821679
70,ЛУЧШЕЕ с Aliexpress !!! Отзывы покупателей,99021503,public_alli,6821679
71,Favorite cтудия красоты Ивацевичи,103606572,studio_krasoty,6821679
72,"Комиссионный магазин ""Винтаж""",110486249,magasinevintage,6821679
73,Барахло,122254109,club122254109,6821679
74,Фаберлик,124238983,club124238983,6821679
75,4x4.coaching-studio,134288118,4x4.coaching,6821679
76,Семейный ресторан Хоровод,172096653,horovodrest,6821681
77,Concept.studio,169620572,cncpt.studio,6821681
78,"""Энергия Звёзд"" - всероссийский конкурс талантов",170844373,bkfest_ru,6821681
79,Moloko | фотостудия в Самаре,169838900,molokosmr,6821681
80,Стереотипы,22942343,stere0type,6821681
81,E-squire,24098496,ru.esquire,6821681
82,Интерьерная фотостудия Living Room Самара,52752962,cub52752962123,6821681
83,AliExpress по-русски,36941068,aliexpress,6821681
84,Империя Кино | Фильмы онлайн 2019,48319873,i.kino,6821681
85,Лайфхак,25873533,5lifehacker,6821681
86,Киномания,22798006,kino_mania,6821681
87,Cook Good - лучшие рецепты,39009769,cook_good,6821681
88,Большая Деревня,51887011,bigvill,6821681
89,Для мам,37086289,dlya_mam,6821681
90,Идеи для дачи,41002749,aidacha,6821681
91,Vandrouki | Путешествия почти бесплатно (RU),63731512,vandroukiru,6821681
92,Just Art,40836944,just_art1,6821681
93,Совместные Покупки | 63покупки,12266540,63pokupki_sovmestnye_pokupki_sa,6821681
94,Сарказм,36164349,s_arcazm,6821681
95,DESIGN BOOK | Учебник дизайнера интерьеров™,46811189,shmidt_by,6821681
96,Лепрозорий,65960786,leprazo,6821681
97,Детско-родительский центр ОБЕРЕГ | Самара,40829265,obereg_sam,6821681
98,Йога в Самаре. Студия Радэ.,27404487,rade_yoga,6821681
99,Energy of Music,12256840,energy_of_music,6821681
100,Дизайн интерьера,32407793,interiorno,6821681
101,Inside Fine Art | СВАДЬБА НА ПЛЕНКУ,125782414,insidefineart,6821681
102,Шедевры рекламы,29302425,bestad,6821681
103,Психология тишины,41883468,psycho,6821681
104,Свадебная фотография/Алоэ-Вера/Photography,41444341,aloeveraphotography,6821681
105,Дизайн room,81359450,club81359450,6821681
106,Wedding Inspiration,35785236,wedding_inspiration,6821681
107,VEGAN COOKBOOK | Веганские рецепты,43818640,vegan_cookbook,6821681
108,TRAVEL BOOK,35156696,travel.book,6821681
109,Carrie — кофе и десерты,101986940,carrie_cafe,6821681
110,Уголок Дизайна 🏡,1792796,design.corner,6821681
111,Academic Art,40886007,academicart,6821681
112,Уроки шитья ✂ Шитье и крой,79143797,sewing_lessons,6821681
113,Своими руками,125532174,club125532174,6821681
114,ArtParty |арт-вечеринки| Тольятти и Самара! 🎨❤,119837666,artparty_tlt,6821681
115,5 кратких фактов,86284414,fact_blog,6821681
116,Workout | Будь в форме,31428243,ican,6821681
117,Корпорация Зла,29246653,evil_incorparate,6821681
118,Читай-город,22142529,chitaigorod,6821681
119,Дочки-Сыночки,40926256,dochkisinochki,6821681
120,Акварель,32158498,watercolor,6821681
121,Аренда/прокат платьев в Самаре. Платья Самара,125516194,arenda_platya_samara,6821681
122,В Тупике,5684530,v_2pike,6821681
123,Первый Вегетарианский,58656979,just_veg,6821681
124,Клуб привилегий,83057159,privilegesclub,6821681
125,● wedding inspiration ● свадьба ●,26184323,weddinginspiration,6821681
126,Достойные фильмы,33769500,dfilm,6821681
127,Диетические рецепты,34889014,dietsrecipes,6821681
128,Дизайнер AliExpress,94448053,ali_dizayner,6821681
129,РИА Новости,15755094,ria,6821681
130,BBC Radio 1 / 1Xtra,20833574,bbcradio1,6821681
131,BEAUTIME клубная косметология,22125754,beautime,6821681
132,Better than yesterday,23475118,better_than_yesterday,6821681
133,I ❤️ART,23626127,iloveart,6821681
134,Картины и постеры,26516308,artposterus,6821681
135,Интеллектуальный юмор,28950133,in.humour,6821681
136,Bon Appétit,32194285,bon,6821681
137,mimi,32375815,mimipets,6821681
138,LOFT | Лофт интерьеры,32407329,loftdsgn,6821681
139,CALIFORNIA MAGIC,32422548,clfrn,6821681
140,Худей вкусно,35113021,recipes40kg,6821681
141,"Ню, Гламур, Фотомодели",36795558,nu_content,6821681
142,Вечерний Ургант,37008294,vecherniy.urgant,6821681
143,Декор,37106986,interior_design_styles,6821681
144,Interior and Decor - Дизайн интерьера. Декор,37684434,idecor,6821681
145,"KitchenMag - рецепты, еда, напитки",38039615,kitchemag,6821681
146,LOFT style | стиль ЛОФТ,38165433,loft_style,6821681
147,Wild West | Мужской журнал,38939614,wild_west777,6821681
148,#ябсъездил,39830322,idtravel,6821681
149,Обои и плакаты РАСКРАСКИ для детей и взрослых,40367334,oboi_raskraski,6821681
150,BEST TIME,40913132,besttimeblog,6821681
151,Ах Астахова,43184340,ah.astakhova,6821681
152,B A C A R D I,47209885,trust_issues,6821681
153,NEBO | Танцы круглый год,52221221,nebopromo,6821681
154,Первая Самарская Оптика,56674428,opticasamara,6821681
