,full_name,group_id,shrot_name,user_id
0,"Розыгрыши призы | Коломна, ВСК",24457613,kolomna_priz,6750750
1,Вязаный мир игрушек,171185757,mirigrushekami,6750750
2,Синема Стар,54058659,cinemastar,6750750
3,Красота. Здоровье. Спорт.,48325402,club48325402,6750750
4,Конкурсы Розыгрыши за Репост бесплатно Москва,129472665,club129472665,6750750
5,ChinaMerk: Китайская одежда,179482011,chinamerk2,6750750
6,585 Золотой,39513007,gold585club,6750750
7,VOOPOO Official,169127085,voopoocomunity,6750750
8,Paragraph Shop | КРОССОВКИ⋮ОБУВЬ⋮СНИКЕРЫ,102132226,paragraph_shop,6750750
9,Всё для вас (Садоводе)!,175826687,club175826687,6750750
10,ТРЦ РИО «Коломна»,42407154,rio_kolomna,6750750
11,Фотографы Юрий и Арина Шишикины,116415342,club116415342,6750750
12,"Цветы Букеты Воскресенск, Коломна, Егорьевск",128996174,top.flowers,6750750
13,МЕГА КИНДЕРЫ КОЛОМНА/РЯЗАНЬ,176725894,club176725894,6750750
14,Beauty-box. Готовые коробочки с подарками. Колом,178841473,club178841473,6750750
15,~Bulavka_toys~,177481653,bulavka_toys,6750750
16,Афиша.Онлайн - Москва,161516291,publicafisha77,6750750
17,"Букеты, тюльпаны к 8 марта. Коломна.",177134240,tulips_kolomna,6750750
18,24К Rose Gold | Луховицы | Коломна,179013361,rosegold24k,6750750
19,~•Olivia•~  Товары для детей,177720752,club177720752,6750750
20,MAJORAP.RU Автозапчасти ON-LINE | Воскресенск,153343440,majorap,6750750
21,"Фотограф Евгения Хализова | Воскресенск, Коломна",113591026,fotovletto,6750750
22,Конкурсы за репост • Бесплатно,109095785,freecandys,6750750
23,Mysteria Quest | Воскресенск,118463207,mysteriaquest,6750750
24,FACE on HOLST | печать фото на холсте | Коломна,177425892,face_on_holst_kolomna,6750750
25,Автоподбор с душой | Московская область,168808038,avto_mo,6750750
26,STYLE & SEREBRO,147189757,styleserebro,6750750
27,Ташир пицца Коломна | Доставка пиццы,142796534,tashirpizzakolomna,6750750
28,Выжигание портретов на заказ | VERZ WOODCRAFT,142340849,verz_woodcraft,6750750
29,АДАМАС,22491170,adamas.club,6750750
30,"""МИШКИ ИЗ РОЗ""и другие тренды 2019 год в Коломне",175544707,club175544707,6750750
31,585 *Ломбарды,57944723,zolotoylom,6750750
32,GoodFood Коломна ● Кафе ● Пицца | Бургеры,73312590,gfkolomna,6750750
33,CVETIMYLO,158417470,cvetimylo,6750750
