,full_name,group_id,shrot_name,user_id
0,ПЕСНИ на ТНТ | 2 сезон,161369228,pesni__na_tnt,6728771
1,"Школа KIT в ""Дом Гнома""",101898787,kdshkit,6728771
2,Куда сходить в Петербурге | Афиша Питер,163538551,afishapitergo,6728771
3,Санкт-Петербург Live,49684148,spb.live,6728771
4,Бассейны «Атлантика»,31549978,bassejny,6728771
5,Newtonew,67977655,newtonew,6728771
6,Infobip,60827384,infobip,6728771
7,Типичный Питер,93689446,typepetersburg,6728771
8,ДТП и ЧП | Санкт-Петербург | Питер Онлайн | СПб,68471405,spb_today,6728771
9,Завтра в Питере | Санкт-Петербург,99937252,zavtra_v_pitere,6728771
10,Таеквондо2000. Спортивная школа Михаила Гурского,35879419,taekwondo2000ru,6728771
11,Питер Live,43660281,thepetersburg,6728771
12,Консорциум «Кодекс»,55312322,rukodeks,6728771
13,Литературный оргазм,39281167,litorg,6728771
14,Аpteka.ru / Аптека.ру,48383801,aptekaru,6728771
15,События Петербурга,106987913,spbpetersburg,6728771
16,Чердак,65863347,cherdak.blog,6728771
17,Мастерская 11.11,107573438,eleveneleven,6728771
18,/Б/етономешалка,7736865,demotiva,6728771
19,Горбилет – билеты со скидкой,97173519,gorbilet,6728771
20,Wood & Magic - Украшения из дерева,133786548,woodandmagic,6728771
21,Шедевры рекламы,29302425,bestad,6728771
22,Семейные парки Хлоп Топ в  СПб,153588361,hloptoppiter,6728771
23,Мои любимые строки,29902006,poezia_proza_stihi,6728771
24,Авиакомпания «Победа»,79459310,pobeda.aero,6728771
25,Рекламные технологии Яндекса,150593037,yandex_adv,6728771
26,Церебро Таргет,73662138,cerebro_vk,6728771
27,Интеллектуариум  | наука и образование,27797026,brain.journal,6728771
28,Радио ENERGY (NRJ),9693056,nrj,6728771
29,Культура.РФ,46598842,cultrf,6728771
30,Олимпик - детская футбольная школа | СПб,125373066,schoololimpik,6728771
31,Фитнес Рецепты — правильное и здоровое питание,80410546,fitness_recepty,6728771
32,Это Питер деткам | экскурсии для всей семьи 2+,103433663,etopiterdetkam,6728771
33,TexTerra,44750488,web_texterra,6728771
34,Алгоритмика Санкт-Петербург,169282660,algoritmika_spb,6728771
35,"ГАРАНТ - новости права, законодательство России",76132441,garant_news,6728771
36,КонсультантПлюс,51225076,consultantplus.comp,6728771
37,Санкт-Петербург - это мой город! | Питер | СПБ,88229325,o_st.petersburg,6728771
38,Pitermama.ru - Клуб Активных Питерских Родителей,6161629,pitermamaru,6728771
39,Слегка упоротая редакция,24421364,surch,6728771
40,"Wow Реклама |  Креатив, дизайн, творчество",12818778,wow_reklama,6728771
41,0% жирности,35486195,zerofat,6728771
42,"Эзотерика | психология, йога, саморазвитие",101725333,sampsy,6728771
43,Зимняя универсиада-2019,74766128,krsk2019,6728771
44,КЛУБ ОСОЗНАННЫХ И ЛЮБЯЩИХ РОДИТЕЛЕЙ-дети и семья,48978,detiroditeli,6728771
45,ГБУ СШОР Кировского района СПб,32966529,sportschoolspbru,6728771
46,Think with Google,171636905,twgru,6728771
47,Расслабленные родители,72919899,relaxedparenting,6728771
48,Петербург для детей,22075073,peterburg4kids,6728771
49,Generation Brand & Communications,51976666,generationbrand,6728771
50,Русабилити,41299554,rusability,6728771
51,Музыка,34384434,mzk,6728771
52,Adindex.ru,14899079,adindex,6728771
53,"IT-Кухня | Интернет-маркетинг, реклама и PR",56712419,itkitchen,6728771
54,Образовач,74404187,obrazovach,6728771
55,AdMe.ru,17655824,adme,6728771
56,Счастливые родители,48220724,parents.club,6728771
57,GeekBrains,15365973,geekbrainsru,6728771
58,Интернет-маркетинг от А до Я,40018862,bizness_online,6728771
59,Университет интернет-профессий Нетология,30159897,netology,6728771
60,НАШЕ,28866484,nashe,6728771
61,Стартапы и бизнес,33393308,vcru,6728771
62,Высокие Технологии,34300760,technology,6728771
63,Детство гномиков,60221834,deti_gnoma,6728771
64,Свадьба 1/07/2016,123256937,andrianovlove,6728771
65,наброски,66818364,moitvoinabroski,6728771
66,Cossa,19720218,cossa,6728771
67,The Village Бизнес,42706552,hopesnofears,6728771
68,Лайкни.ру - всё о SMM и Digital-маркетинге,32882227,likeni_ru,6728771
69,Редкие кадры,35519861,redkadri,6728771
70,Киномания | Новинки 2019,43215063,kinomania,6728771
71,Новая жизнь старых вещей,44589120,poleznoe_tut,6728771
72,Event-маркетинг от А до Я,99969239,markevent,6728771
73,Just Story,106084026,just_str,6728774
74,Russian Biathlon|Российский Биатлон,41309436,life_biathlon,6728774
75,Золотое Яблоко,44515433,goldapple_ru,6728774
76,Science|Наука,29559271,sci,6728774
77,Шедевры поэзии | стихи,52905059,shpoetry,6728774
78,Business.Strategy | С успехом по жизни,30559917,businessstrategy,6728774
79,Завтра в Екатеринбурге | Екатеринбург,115770280,zavtra_v_ekb,6728774
80,Кулинария: вкусные рецепты 🍒,42092461,bon_cook,6728774
81,Сола Монова,28771923,public.sola,6728774
82,KRAVETS bikepacking | Велосумки,141469724,kravetsbikepacking,6728774
83,Из Куеды | Блог Аяза Шабутдинова,47696395,ayazshabutdinov,6728774
84,SILA VOLI,76531125,silavoliekb,6728774
85,Фабрика идей,43772432,hmideas,6728774
86,Бизнес-сообщество Like Центр,88954528,likefamily1,6728774
87,Почему?,45938293,vkwhy,6728774
88,Я инвестор | бизнес и финансы!,62438886,iinvest4you,6728774
89,Вебург: информационно-развлекательный портал,25025031,weburg,6728774
90,СуперЁлка2019 | «Главная ёлка Урала»,155130097,sup_elka,6728774
91,Интересные штуки,45613675,shtuky,6728774
92,Идеи Handmade,42811897,made_in_hand,6728774
93,Корпорация Зла,29246653,evil_incorparate,6728774
94,Записки шеф-повара,48618580,chief.cooker,6728774
95,Bon Appétit,32194285,bon,6728774
96,Искусство реальности,26307864,goodarts,6728774
97,Идеи дизайна интерьера,36184135,i_des,6728774
98,Фитнес и здоровье. Диеты и спорт.,30447908,ladyonline,6728774
99,Худей вкусно,35113021,recipes40kg,6728774
100,Богдан Тимченко/Helix,129642215,helixb,6728774
101,Лучшие фотографы и модели | Искусство,5880263,pho,6728774
102,BUSHCAKE O&A ( торты на заказ г. Екатеринбург ),139140847,bushcake,6728774
103,Философия | Психология | Саморазвитие,33080201,dr.house4you,6728774
104,Юлия Валеева | Финансист,143659594,dnevniki_finansista,6728774
105,Запускаем прибыльный детский центр | 13-15 июля,167442583,club167442583,6728774
106,Матвей Дахно | Мой Юрист,133119857,mdakhnoblog,6728774
107,Качественные средства для уборки НПО СпецСинтез,117461850,specsintez74,6728774
108,Модельное агентство Екатеринбург-fashion,130530409,ekburgfashion,6728774
109,Максим Цветков,158077232,mxtsv,6728774
110,Ciao Maccheroni,146796254,maccheroniciao,6728774
111,Вечерний Ургант,22788324,evening.urgant,6728774
112,Agenda Play,32708863,agendaplay,6728774
113,"То, что вдохновляет…",38462835,inspiration_cards,6728774
114,RONUM TRAVEL – путешествия и приключения,42960859,ronumtravel,6728774
