,full_name,group_id,shrot_name,user_id
0,Детские сады Ивантеевки,61229326,detskie_sadi_ivanteevki,6824675
1,БЕРЕЖОК.РУ,80417882,club80417882,6824675
2,"Шитье деткам - выкройки, рукоделие",99370055,sewing_kids,6824675
3,"➡ Моя Уютная Дача, сад и огород  Подпишись",56584579,my_dacha,6824675
4,Дети и Мамы Ивантеевки: Детская Ивантеевка,114047679,det_portal_iv,6824675
5,Фабрика идей,43772432,hmideas,6824675
6,Клуб Молодых Мам (КММ),35232329,mama.club,6824675
7,Подслушано в Ивантеевке new!,104867921,podslushano_ivanteevka,6824675
8,Доска объявлений Пушкино I Мытищи I Ивантеевка I,54985206,the_markets,6824675
9,"Наращивание,ламинирование ресниц Ивантеевка",161147816,lashmaker__natalya,6824675
10,Барахолка Королёв Ивантеевка Фрязино Щёлково Пуш,99449613,board_podmsk,6824675
11,Ивантеевка Барахолка Доска объявлений,134099423,ivanteevka_net,6824675
12,"Мастерская игрушек.  Handmade, рукоделие.",59531231,toys.studio,6824675
13,ИДЕИ для творчества,68229174,make_idea,6824675
14,"Ремонт, строительство|Построй уДАЧУ, дом",90351338,dacha_stroi,6824675
15,Шпильки | Женский Журнал,29686754,woman.blog,6824675
16,Ивантеевка,54436,ivanteevka.city,6824675
17,Атлас секонд хенд и сток оптом,163495663,atlassecond,6824675
18,Барахолка Фрязино Щелково Ивантеевка,91497561,frjazinob,6824675
19,Сделай сам!,46619709,thismyhandmade,6824675
20,Типичная Ивантеевка,43952462,typical_of_ivanteevka,6824675
21,Союз творчества и рукоделия,72920486,club72920486,6824675
22,Funny Slim | Диетические Рецепты | ЗОЖ,72450957,funny.slim,6824675
23,"Пушкино ,Ивантеевка.",106207698,pushkinosegodnja,6824675
24,Шедевры рукоделия,43688579,h.made,6824675
25,Подслушано во Фрязино,79892892,frjazino,6824675
26,"Ярмарка ручного творчества ""Авторские Штучки""",87280807,festash_spb,6824675
27,Шедевры своими руками,39210583,goodmoodhandmade,6824675
28,Вязаные идеи,52919650,v.idea,6824675
29,Идеи Handmade,42811897,made_in_hand,6824675
30,ОНА ЗНАЕТ|| Рукоделие. Вязание.,57113265,shenows,6824675
31,Строим свой дом,75610374,stroim_svoi_dom,6824675
32,Клуб рукодельниц - рукоделие с душой,107151352,love_risovanie,6824675
33,Уютный декор для дома. Handmade и рукоделие,28587219,soverwenstvo.decora,6824675
34,Микс Европа,51629653,club51629653,6824675
35,"ВИНТАЖ ★Искусство, рукоделие, шитье★",46509177,vintage_life,6824675
36,МАЛЯВКИН ГАРДЕРОБ-ДЕТСКИЕ ОБНОВЫ,111752001,club111752001,6824675
37,КупитьПродатьИвантеевкаПушкиноЩёлковоКоролев,91658496,kp_ivanteevka,6824675
38,"Своими руками (Творчество, Шитье, Выкройки)",38966129,fashion.freak,6824675
39,"Ортопедический салон ""MEDICCI""",168245928,club168245928,6824675
40,Funny Chef | Вкусные рецепты | GIF | Салаты,50914802,funny.chef,6824675
41,Fashion - мода и стиль,28646177,i.moda,6824675
42,B e a u t é | Территория вдохновения,27531145,beaute,6824675
43,"Волшебство - идеи творчества и декора, рукоделие",45513794,magicdiy,6824675
44,💎Mini B💎  Одежда из Англии для ваших малышей.,54732879,olgood777,6824675
45,СекондСтокОпт. Оптовая одежда СТОК и СЕКОНД-ХЕНД,163581300,club163581300,6824675
46,Подслушано в Ивантеевке + Пушкино (Щелково),41484815,ivant_new,6824675
47,Идеи для дома / 33 кв. метра,158440614,ldeasforhome,6824675
48,Funny Handmade ✂ Рукоделие и вязание,44924369,funny.handmade,6824675
49,➡ Мой Уютный Дом | Вязание.Рукоделие,50049819,clubmycozyhome,6824675
50,Русский пармезан. Олег Сирота,87464955,rusparmezan,6824675
51,Сила трав,127428039,sila_traw,6824675
52,Рецепты: вкусно и просто🍴,46117626,cook_bon,6824675
53,Секреты красоты и здоровья,28613476,secreti_krasoti,6824675
54,Столица рукоделия,34131214,mnogodelki,6824675
55,Минус 10 кг,86224065,minys10,6824675
56,Фенечка | Красота своими руками,28362355,ifenechka,6824675
57,Пульс Ивантеевки,84787080,puls_ivanteevki,6824675
58,Развитие и обучение детей с Разумейкиным онлайн,74890102,razumeykin,6824675
59,"Творческая галерея ""Своими руками""",64486163,galereya_hm,6824675
60,Мамы Ивантеевки,148259297,mamochkiiv,6824675
61,"Вязание крючком. Модели, схемы, уроки",41833567,vjazanie_krjuchkom,6824675
62,Дейзи - Идеи для рисования,138628761,odaisy,6824675
63,Барахолка Мытищи Королев Юбилейный Пушкино Щёлко,20431221,board_podmsk1,6824675
64,КЛЕВЕР-КЛУБ,128360488,clever_club1,6824675
65,"""Борт №1"" детский центр в г. Ивантеевке",159537009,bort_nomer_odin,6824675
66,"Все для праздника: идеи, конкурсы, сценарии",40171145,kanaloprazdnike,6824675
67,Фотостудия ФотоКузня Ивантеевка,46752035,fotokuznya,6824675
68,ВЯЗАНИЕ,5670814,knitting,6824675
69,Шоурум Shopping_maniya,127869614,club127869614,6824675
70,"➡ Петелька|Вязание, схемы",81930247,your_petelka,6824675
71,"Частный детский сад ""Домовенок"" от 1 года",154071895,club154071895,6824675
72,Кулинария: вкусные рецепты 🍒,42092461,bon_cook,6824675
73,HandmadeMart,45806864,handmademart,6824675
74,Travelerr.ru - путешествуй с нами,41053835,travelerr,6824675
75,Барахолка Объявления Ивантеевка Пушкино Мытищи,121995263,board_podmsk2,6824675
76,ДАЧА,55065659,dacha_idei,6824675
