,full_name,group_id,shrot_name,user_id
0,Лентач,29534144,oldlentach,6516983
1,[BadComedian],25557243,badcomedian,6516983
2,Бродяги Дхармы,54566161,dharma_bums,6516983
3,Ирландия,68229773,ru_ireland,6516983
4,МОЕ ПРАВО: консультации юристов онлайн,16462767,pravo1,6516983
5,Арбитражная практика для юристов,32413198,arbitrpraktika,6516983
6,Квартирный Вопрос,42541008,flatme,6516984
7,КОНКУРСЫ ЗА РЕПОСТ/Питер,142530824,club142530824,6516984
8,███████  ПОТЕРЯШКИ  - Калуга и область  ███████,54026153,poteryashki_kaluga,6516987
9,Плохая покупка Калуга,85672587,pokupka40,6516987
10,Калуга,47908301,kaluganews_com,6516987
11,Калуга,32713787,tkaluga,6516987
12,"""РАЗВИВАЙКА""- развивающие игрушки,детские товары",61331869,raz_vivajka,6516987
13,"Приют для бездомных животных ""Ванечка"" г.Калуга",68085248,aid_pet,6516987
14,Калуга Подслушано,57628472,slyxikaluga,6516987
15,Типичный Брянск,6523189,tip32,6516987
16,Калуга Даром,15679706,darom.kaluga,6516987
17,Калуга  Работа,44829284,klgkaluga,6516987
18,Взаимопомощь автомобилистов Калуги,67785983,tvori_dobro_kaluga,6516987
19,МУЗЫКА 2019 | ПОНЕСЛАСЬ! | Official Page [PNS],84772847,poneclas,6516987
20,Новинки кино,28738446,kinoha,6516987
21,Автомобильная Калуга,33003050,kaluga_auto,6516987
22,Калуга и область ™,52771331,kaluga_oblast,6516987
23,Палата 69,123695926,palatanom69,6516987
24,ТРЕВОЖНЫЕ НОВОСТИ,170191666,trevogznie_novosti,6516987
25,РЕЛЬЕФ /  фитнес / спорт / здоровье / питание,51211972,fitness.journal,6516987
26,"Конно-спортивный комплекс ""Вертикаль""",36673308,ksk_vertikal,6516987
27,0% жирности,35486195,zerofat,6516987
28,Лучшие фотографы и модели | Искусство,5880263,pho,6516987
29,Best Video,63758929,best_video_hd,6516987
30,Палата №6,56106344,pn6,6516987
31,Фитнес Рецепты — правильное и здоровое питание,80410546,fitness_recepty,6516987
32,ЭТУ СТРАНУ НЕ ПОБЕДИТЬ! Русские не сдаются!,53474,rus_improvisation,6516987
33,ПОДЕЛКИ ДЛЯ ДЕТЕЙ,108494535,podelki_dlia_detei,6516987
34,Рецепты - ПростоПовар,154419301,prostpovar,6516987
35,Для мам,37086289,dlya_mam,6516987
36,Идеи для красоты 👄,51024179,mdk_beauty,6516987
37,Типичная Хамка,35132296,vk_oo,6516987
38,МИLK MUSIC | Популярная музыка 2019,76222278,popylarmusic19,6516987
39,Популярная музыка,35983383,plmusic,6516987
40,Mitsubishi Lancer X - Митсубиси Лансер 10,1304706,lancerxclubru,6516987
41,Находки и потери|Калуга,85689539,nahodka.kaluga40,6516987
42,Новинки Музыки 2019  и Новая Музыка,27895931,exclusive_muzic,6516987
43,Психология отношений,40498005,psy.people,6516987
44,40 КГ,28627911,40kg,6516987
45,Мебель Шара,78666617,mebelshara,6516987
46,UFC / MMA / Хабиб Нурмагомедов,32812122,pojizni,6516987
47,Карамель,93330757,caramel6,6516987
48,Калуга За рулём,78053332,kalugazarulem,6516987
49,Женские мелочи,33006648,women.trifles,6516987
50,Moscw Мне нравится,27042171,moscow.area,6516987
51,Надежда Романова | Художница Монро Арт,81309317,popart.portret,6516987
52,Сделай сам!,46619709,thismyhandmade,6516987
53,Утро в Деревне: Сельский туризм. Костромская обл,36281079,utrovderevne,6516987
54,Шедевры кулинарии,43879004,sh.cook,6516987
55,ИДЕИ,36326284,modarts,6516987
56,Рецепты,34451036,great.food,6516987
57,Цитаты и Книги,31752409,eternity,6516987
58,Романтика и декор своими руками,35059398,romantika_for_you,6516987
59,Музыка в машину [Bass],43387535,music.avto,6516987
60,Подслушано Жиздра,73579567,zhizdra_news,6516987
61,БОРЩ,460389,borsch,6516987
62,Запасные части и аксессуары для бытовой  техники,138753065,sebshop_ru,6516987
63,Аскона,42662224,askonaru,6516987
64,Девушкам это нравится,59298212,queen.girlss,6516987
65,Фабрика идей,43772432,hmideas,6516987
66,"СПОРТ как СЕКС, он нужен ВСЕМ",33377621,seskosqort,6516987
67,ПроДетей Калуга | мама,151550184,detstvo_40,6516987
68,Товары из Финляндии в Москву/Калугу/Обнинск/Тулу,147847227,findeliverykaluga,6516987
69,Работа Калуга,75578314,kalugawork,6516987
70,Денник №6,42007587,dennik6,6516987
71,Невероятный мир,33842750,incred_world,6516987
72,AUTO,23783750,pubauto,6516987
73,Уроки Красоты | Маникюр | Прически | Макияж,25171514,onlinepublik,6516987
74,Шедевры рукоделия,43688579,h.made,6516987
75,Кулинарное искусство,47118092,cooklove,6516987
76,ГАЛЕРЕЯ КАЛУГА,151267825,gallery040,6516987
77,Музыка,42440233,exp.music,6516987
78,90-60-90 | Спортивные девушки,39728801,9o_6o_9o,6516987
79,"Кафе-чайхана ""Вкус Граната"" в Калуге",77397225,vgranata,6516987
80,Необычная реклама,36621560,bestadv,6516987
81,Счастливые родители,48220724,parents.club,6516987
82,"Ресторанчик ""Старый городъ""",59110122,oldtown40,6516987
83,Музыка,28446706,exp.music3,6516987
84,FOTOMAFIA PROJECT,49387453,fotomafia40,6516987
85,ЛайфХак,62786482,pro.live,6516987
86,Marsala | Ресторан | Караоке-бар | Lounge,108029300,marsala_rest,6516987
87,Шпильки | Женский Журнал,29686754,woman.blog,6516987
88,Воздушные шары! КАЛУГА!,49630910,prazdniksharow_kaluga,6516987
89,Tasty - Быстрые рецепты,132565509,my_tasty,6516987
90,"""FOTOMAFIA PROJECT"" Присоединяйся к нам !!!",24098200,fotomafia_rus,6516987
91,Workout | Будь в форме,31428243,ican,6516987
92,ГЕОМЕТРИЯ КАЛУГА,36082501,geokalugapublic,6516987
93,Love Horse Конюшня |LH| ЛОШАДИ,54728586,horse_lh,6516987
94,Кино театры  Москва,50571799,d_films,6516987
95,Уголок Дизайна 🏡,1792796,design.corner,6516987
96,"Калужский перекресток, kp40.ru. Новости Калуги",3212465,kaluga_perekrestok,6516987
97,Калуга твоими глазами!,4235700,foto_klg,6516987
98,Фотограф ОЛЬГА МИШУТИНА Калуга,10228940,mishutinaolga,6516987
99,"Wow Реклама |  Креатив, дизайн, творчество",12818778,wow_reklama,6516987
100,▄▀▄▀▄   787-787  Taxi RUSH   ▄▀▄▀▄,16826701,taxi_rush,6516987
101,Автомобильный журнал Калуги 40RUS,22466462,magazine40rus,6516987
102,Эрго-рюкзаки слинги  ТМ ТеддиСлинг,22991052,tmteddysling,6516987
103,♔ Счастье ♔,23337480,glam.koko,6516987
104,Новости п.Воротынск,23519299,vrtnews,6516987
105,TRAP AND BASS,24105430,trapandbass,6516987
106,По Фрейду,24313746,pofreydu,6516987
107,Men's life,24413537,shanson_pub,6516987
108,ВОГ (18+),24417215,vog18,6516987
109,Kerry [OFFICIAL PUBLIC] Force,25070488,kerry_force_public,6516987
110,Вдохновение.,25421850,workart,6516987
111,Живи здорово!,25533484,jvzdorovo,6516987
112,GAGARIN BAR КАЛУГА,26480090,gagarinbar40,6516987
113,Красиво сказано . . .,26669118,vk.krasota,6516987
114,Спасибо папе за характер.©,27470044,axyennaa,6516987
115,Калуга-Поиск | Новости Калуги,27736909,novosti_kaluga,6516987
116,Правильное Питание | Программы Тренировок,28511142,goodiet,6516987
117,Уютный декор для дома. Handmade и рукоделие,28587219,soverwenstvo.decora,6516987
118,Сумерки Club (Калуга),28672470,sumerki.club,6516987
119,"Шопоголик (Стиль, мода, красота)",29140284,gidpostilyu,6516987
120,Илья Пладо,29404078,ilya_plado,6516987
121,Сушка Тела | Shredded body,29551471,sushitelo,6516987
122,Музыка для бега,29960558,neurofunks,6516987
123,Нечто большее,30562064,lookfoto,6516987
124,А ты помнишь?,31048473,ti_pomnish,6516987
125,۞۞۞ Модные детки и их родители ۞۞۞,32424040,moda_for_you,6516987
126,Ты офигеешь!,32426058,ointeresno,6516987
127,Lightroom.ru - советы и уроки фотографии,32482725,lightroomru,6516987
128,Наутилус Помпилиус,32881976,nautilus64,6516987
129,Дневник женщин,32939817,women.diary,6516987
130,YummyBook | Рецепты на каждый день,33056818,yummybook,6516987
